level,code,task_name,planned_dur,actual_start,actual_end,weight_pct,completion_pct,total_float,project_code,weight_norm
9,                                    C4590,外粉,4,2021-06-23,2021-06-26,25.0,100.0,69,N791,0.000555592224642382
9,                                    C4600,内粉,4,2021-06-20,2021-06-23,25.0,100.0,69,N791,0.000555592224642382
9,                                    C4610,门窗,3,2021-07-08,2021-07-11,18.75,100.0,65,N791,0.00041669416848178647
9,                                    C4620,地砖,5,2021-08-08,2021-08-14,31.25,100.0,-14,N791,0.0006944902808029774
8,                                D3101,空压机及干燥机安装,7,2021-07-15,2021-07-20,17.07,100.0,65,N791,0.0003793583709858184
8,                                D3102,车间内管道安装,14,2021-08-01,2021-08-07,34.15,100.0,69,N791,0.0007589389788614937
8,                                D3103,电气安装,20,2021-11-06,2021-11-25,48.78,100.0,0,N791,0.0010840715487222157
8,                                C4630,图纸到场,0,2021-08-29,2021-08-29,0.0,100.0,0,N791,0.0
9,                                    C4640,土方开挖,4,2021-10-03,2021-10-06,13.33,100.0,-82,N791,0.0002962417741793181
9,                                    C4650,柱基础施工,5,2021-10-07,2021-10-10,16.67,100.0,-82,N791,0.0003704688953915403
9,                                    C4660,地梁,8,2021-10-12,2021-10-17,26.67,100.0,-82,N791,0.0005927057852484931
9,                                    C4670,设备基础,6,2021-10-15,2021-10-17,20.0,100.0,-82,N791,0.00044447377971390555
9,                                    C4680,回填及室内地面,7,2021-11-05,2021-11-11,23.33,100.0,-82,N791,0.0005184786640362708
9,                                    C4690,第一层,12,2021-11-09,2021-11-13,60.0,100.0,-82,N791,0.0013334213391417167
9,                                    C4700,一层墙体砌筑,8,2021-11-28,2021-12-05,40.0,100.0,-71,N791,0.0008889475594278111
9,                                    C4710,交安,1,2021-12-25,2021-12-25,100.0,100.0,-71,N791,0.002222368898569528
9,                                    C4720,外粉,4,2021-12-11,2021-12-14,25.0,100.0,-71,N791,0.000555592224642382
9,                                    C4730,内粉,4,2021-12-11,2021-12-14,25.0,100.0,-71,N791,0.000555592224642382
9,                                    C4740,门窗,3,2021-12-15,2021-12-17,18.75,100.0,-71,N791,0.00041669416848178647
9,                                    C4750,地砖,5,2021-12-18,2021-12-19,31.25,100.0,-71,N791,0.0006944902808029774
8,                                D3201,空压机及干燥机安装,7,2021-12-15,2021-12-25,17.07,100.0,-71,N791,0.0003793583709858184
8,                                D3202,车间内管道安装,14,2022-01-01,2022-01-05,34.15,100.0,-84,N791,0.0007589389788614937
8,                                D3203,电气安装,20,2021-11-28,2021-12-25,48.78,100.0,0,N791,0.0010840715487222157
8,                                D3104,熟料系统气管网安装,60,2021-10-28,2021-11-14,50.0,100.0,-32,N791,0.001111184449284764
8,                                D3204,水泥系统气管网安装,45,2021-12-10,2021-12-26,50.0,100.0,0,N791,0.001111184449284764
8,                                C4760,图纸到场,0,2021-08-15,2021-08-15,0.0,100.0,0,N791,0.0
10,                                        C4910,土方开挖,7,2021-08-24,2021-08-28,16.28,100.0,15,N791,0.00036180165668711915
10,                                        C4920,柱基础施工,10,2021-08-29,2021-09-05,23.26,100.0,8,N791,0.0005169230058072722
10,                                        C4930,地梁,15,2021-09-08,2021-09-19,34.88,100.0,8,N791,0.0007751622718210514
10,                                        C4940,回填,4,2021-09-27,2021-09-30,9.3,100.0,-252,N791,0.0002066803075669661
10,                                        C4950,室内地面,7,2021-12-09,2021-12-12,16.28,100.0,17,N791,0.00036180165668711915
10,                                        C4960,第一层,20,2021-10-07,2021-10-10,57.14,100.0,-56,N791,0.0012698615886426283
10,                                        C4970,一层墙体砌筑,15,2021-11-03,2021-11-07,42.86,100.0,5,N791,0.0009525073099268996
10,                                        C4980,交安,1,2021-12-25,2021-12-25,100.0,100.0,17,N791,0.002222368898569528
10,                                        C4990,外粉,7,2021-11-28,2021-12-04,25.0,100.0,38,N791,0.000555592224642382
10,                                        C5000,内粉,7,2021-11-28,2021-12-04,25.0,100.0,17,N791,0.000555592224642382
10,                                        C5010,门窗,7,2021-12-05,2021-12-11,25.0,100.0,31,N791,0.000555592224642382
10,                                        C5020,地砖,7,2021-12-16,2021-12-22,25.0,100.0,17,N791,0.000555592224642382
9,                                    C2110225,土方开挖,5,2021-09-01,2021-09-05,8.2,100.0,11,N791,0.00018223424968270128
9,                                    C2110230,水池底板,15,2021-09-06,2021-09-12,24.59,100.0,11,N791,0.0005464805121582469
9,                                    C2110240,水池壁板及顶板,20,2021-09-13,2021-09-18,32.79,100.0,11,N791,0.0007287147618409482
9,                                    C2110250,拆模回填,7,2021-09-19,2021-09-19,11.48,100.0,11,N791,0.00025512794955578184
9,                                    C2110254,内隔墙,12,2021-10-03,2021-10-10,19.67,100.0,87,N791,0.00043713996234862615
9,                                    C5050,交安,2,2021-10-15,2021-10-16,3.27,100.0,87,N791,7.267146298322356e-05
8,                                M41000,水泵安装,7,2021-11-28,2021-12-04,9.46,100.0,-5,N791,0.00021023609780467735
8,                                M41010,管道安装,14,2021-12-05,2021-12-11,18.92,100.0,24,N791,0.0004204721956093547
8,                                M6111,盘柜安装,7,2021-12-05,2021-12-11,13.51,100.0,-5,N791,0.00030024203819674323
8,                                M6112,桥架安装,7,2021-12-17,2021-12-23,13.51,100.0,-5,N791,0.00030024203819674323
8,                                M6113,电缆敷设,7,2021-12-29,2022-01-04,24.32,100.0,-5,N791,0.0005404801161321092
